2020-11-18 16:24:30.589 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 16:24:34.568 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 4.336 seconds (JVM running for 5.347)
2020-11-18 17:44:59.473 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 6032 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 17:44:59.480 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 17:45:04.611 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 5.611 seconds (JVM running for 7.206)
2020-11-18 17:46:58.445 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 10116 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 17:46:58.451 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 17:47:03.930 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 6.03 seconds (JVM running for 7.418)
2020-11-18 17:50:25.388 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 9352 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 17:50:25.393 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 17:50:30.653 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 5.701 seconds (JVM running for 7.013)
2020-11-18 18:00:32.646 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 7248 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 18:00:32.651 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 18:00:37.861 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 5.636 seconds (JVM running for 6.947)
2020-11-18 18:01:47.119 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 9368 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 18:01:47.125 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 18:01:52.208 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 5.524 seconds (JVM running for 6.83)
2020-11-18 18:03:53.857 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 9024 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 18:03:53.863 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 18:03:57.783 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 4.289 seconds (JVM running for 5.327)
2020-11-18 18:04:31.593 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 8468 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 18:04:31.598 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 18:04:35.630 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 4.38 seconds (JVM running for 5.308)
